순번,연도,관할기관,이름,소속,직위,재산 대분류,종전가액,증가액,감소액,현재가액,,
204,2016,국회공직자윤리위원회,김기준,국회,국회의원,채무,"-270,000","-19,954",0,"-289,954",,
205,2016,국회공직자윤리위원회,김기준,국회,국회의원,골동품 및 예술품,"5,000",0,0,"5,000",,
206,2016,국회공직자윤리위원회,김기준,국회,국회의원,회원권,"15,750",0,0,"15,750",,
207,2016,국회공직자윤리위원회,김기준,국회,국회의원,고지거부 및 등록제외사항,0,0,0,0,,
208,2016,국회공직자윤리위원회,김기준,국회,국회의원,총계,"1,109,343","220,509","208,371","1,121,481",,
209,2016,국회공직자윤리위원회,김도읍,국회,국회의원,토지,"42,287",330,0,"42,617",,
210,2016,국회공직자윤리위원회,김도읍,국회,국회의원,건물,"2,970,819","265,057","74,500","3,161,376",,
211,2016,국회공직자윤리위원회,김도읍,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"15,920",0,"2,901","13,019",,
212,2016,국회공직자윤리위원회,김도읍,국회,국회의원,예금,"330,709","46,346","157,823","219,232",,
213,2016,국회공직자윤리위원회,김도읍,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"90,512",0,"90,512",,
214,2016,국회공직자윤리위원회,김도읍,국회,국회의원,채무,"-882,754","-88,014","-39,471","-931,297",,
215,2016,국회공직자윤리위원회,김도읍,국회,국회의원,총계,"2,476,981","314,231","195,753","2,595,459",,
216,2016,국회공직자윤리위원회,김동완,국회,국회의원,토지,"43,890","2,660",0,"46,550",,
217,2016,국회공직자윤리위원회,김동완,국회,국회의원,건물,"752,000","15,900",0,"767,900",,
218,2016,국회공직자윤리위원회,김동완,국회,국회의원,부동산에 관한 규정이 준용되는 권리와 자동차·건설기계·선박 및 항공기,"36,510","9,390","8,055","37,845",,
219,2016,국회공직자윤리위원회,김동완,국회,국회의원,예금,"151,414","59,142","48,199","162,357",,
220,2016,국회공직자윤리위원회,김동완,국회,국회의원,정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금,0,"10,855",0,"10,855",,
221,2016,국회공직자윤리위원회,김동완,국회,국회의원,유가증권,"1,708","4,857",0,"6,565",,
